epoch,loss_train,min_train,max_train,std_train,loss_val,min_val,max_val,std_val,loss_gap,train_improvement_pct,val_improvement_pct
1.0,312.1062927246094,312.1062927246094,312.1062927246094,,115.73316192626952,115.73316192626952,115.73316192626952,,-196.37313079833984,,
2.0,199.02230834960935,199.02230834960935,199.02230834960935,,80.52350616455078,80.52350616455078,80.52350616455078,,-118.49880218505857,-36.23252302534669,-30.423134714101963
3.0,156.16729736328125,156.16729736328125,156.16729736328125,,65.9794921875,65.9794921875,65.9794921875,,-90.18780517578125,-21.53276752827503,-18.061824018603843
4.0,135.81765747070312,135.81765747070312,135.81765747070312,,58.55145263671875,58.55145263671875,58.55145263671875,,-77.26620483398438,-13.030666622372388,-11.258103547799836
5.0,124.29037475585938,124.29037475585938,124.29037475585938,,55.93137741088867,55.93137741088867,55.93137741088867,,-68.3589973449707,-8.48732258346473,-4.474825316608754
6.0,117.1855926513672,117.1855926513672,117.1855926513672,,52.06026458740234,52.06026458740234,52.06026458740234,,-65.12532806396487,-5.716276999283276,-6.921182711178342
7.0,111.9391632080078,111.9391632080078,111.9391632080078,,50.5192985534668,50.5192985534668,50.5192985534668,,-61.419864654541,-4.47702599326163,-2.9599658129828788
8.0,108.5790023803711,108.5790023803711,108.5790023803711,,49.80337142944336,49.80337142944336,49.80337142944336,,-58.775630950927734,-3.0017741167072898,-1.417135915427925
9.0,106.29644012451172,106.29644012451172,106.29644012451172,,48.85118103027344,48.85118103027344,48.85118103027344,,-57.44525909423828,-2.102213324693447,-1.911899479574175
10.0,104.02536010742188,104.02536010742188,104.02536010742188,,49.00899124145508,49.00899124145508,49.00899124145508,,-55.0163688659668,-2.1365532226945594,0.32304277573933504
11.0,102.1142807006836,102.1142807006836,102.1142807006836,,46.96508026123047,46.96508026123047,46.96508026123047,,-55.149200439453125,-1.8371283740472588,-4.170481637042411
12.0,100.32929229736328,100.32929229736328,100.32929229736328,,46.182106018066406,46.182106018066406,46.182106018066406,,-54.147186279296875,-1.7480301394400044,-1.667141286268392
13.0,98.73883819580078,98.73883819580078,98.73883819580078,,46.858306884765625,46.858306884765625,46.858306884765625,,-51.880531311035156,-1.5852340479474258,1.4642053492205154
14.0,96.85284423828124,96.85284423828124,96.85284423828124,,44.894309997558594,44.894309997558594,44.894309997558594,,-51.95853424072264,-1.9100831972314603,-4.191352649674074
15.0,95.6820831298828,95.6820831298828,95.6820831298828,,45.82225799560547,45.82225799560547,45.82225799560547,,-49.85982513427733,-1.2088040548588141,2.066961265464018
16.0,94.1392822265625,94.1392822265625,94.1392822265625,,44.71794891357422,44.71794891357422,44.71794891357422,,-49.42133331298828,-1.6124240326436445,-2.4099839910489695
17.0,93.18238830566406,93.18238830566406,93.18238830566406,,45.10889053344727,45.10889053344727,45.10889053344727,,-48.07349777221679,-1.0164661321673374,0.8742387103411797
18.0,92.28598022460938,92.28598022460938,92.28598022460938,,44.6092414855957,44.6092414855957,44.6092414855957,,-47.67673873901367,-0.9619930303934932,-1.1076509351988895
19.0,91.467529296875,91.467529296875,91.467529296875,,45.14291763305664,45.14291763305664,45.14291763305664,,-46.32461166381836,-0.8868637746951347,1.1963353997697102
20.0,90.84705352783205,90.84705352783205,90.84705352783205,,44.422508239746094,44.422508239746094,44.422508239746094,,-46.42454528808595,-0.6783563236185008,-1.5958414543924326
21.0,90.08548736572266,90.08548736572266,90.08548736572266,,43.95171356201172,43.95171356201172,43.95171356201172,,-46.13377380371094,-0.83829484010296,-1.0598111101550622
22.0,89.48774719238281,89.48774719238281,89.48774719238281,,44.01387786865234,44.01387786865234,44.01387786865234,,-45.473869323730476,-0.6635254920841827,0.1414377315526183
23.0,88.81314849853516,88.81314849853516,88.81314849853516,,44.04120635986328,44.04120635986328,44.04120635986328,,-44.771942138671875,-0.7538447608893217,0.06209062353583761
24.0,88.50858306884766,88.50858306884766,88.50858306884766,,44.48886489868164,44.48886489868164,44.48886489868164,,-44.019718170166016,-0.34292831054461015,1.0164538526953981
25.0,88.03813171386719,88.03813171386719,88.03813171386719,,44.635372161865234,44.635372161865234,44.635372161865234,,-43.40275955200195,-0.5315319019563614,0.32931220771139635
26.0,87.6290283203125,87.6290283203125,87.6290283203125,,43.59927749633789,43.59927749633789,43.59927749633789,,-44.02975082397461,-0.4646888633260793,-2.3212412383838976
27.0,87.21121978759766,87.21121978759766,87.21121978759766,,43.84871292114258,43.84871292114258,43.84871292114258,,-43.36250686645508,-0.4767923834412713,0.5721090787012217
28.0,86.85482788085938,86.85482788085938,86.85482788085938,,43.20489883422852,43.20489883422852,43.20489883422852,,-43.64992904663085,-0.40865373469867183,-1.4682622225922315
29.0,86.77702331542969,86.77702331542969,86.77702331542969,,42.61725234985352,42.61725234985352,42.61725234985352,,-44.159770965576165,-0.08958001222040268,-1.3601385496346596
30.0,86.46956634521484,86.46956634521484,86.46956634521484,,42.92838287353516,42.92838287353516,42.92838287353516,,-43.54118347167968,-0.3543068873165356,0.7300576797572678
